PassengerID,Name,Age,Gender,Travel Class,Booking Date,Flight Date,Origin,Destination,Fare,Seat Number
1,Jack Reyes,27,Female,First Class,2024-10-12,2025-11-24,New York,Tokyo,1675.12,25E
2,Kelly Mullins,52,Male,Economy,2024-03-12,2025-10-12,Los Angeles,Sydney,918.33,38E
3,Margaret White,78,Male,Business,2024-04-10,2025-07-26,Los Angeles,Tokyo,1175.33,43B
4,Hannah Carpenter,79,Male,First Class,2024-03-27,2025-09-01,Houston,India,772.29,38F
5,Victoria Dalton,57,Female,Economy,2024-03-12,2025-12-13,India,India,338.22,39F
6,Matthew Patterson,45,Male,Business,2024-01-02,2025-09-01,Houston,Paris,1729.81,36B
7,Adam Mcdaniel,72,Male,Economy,2024-08-15,2025-11-30,New York,Paris,1852.99,14C
8,Jamie Barker,30,Female,Business,2024-03-16,2025-09-12,Chicago,Paris,1191.14,49E
9,Keith Hudson,35,Male,Business,2024-11-17,2025-09-12,Los Angeles,Paris,480.97,48D
10,David Turner,21,Female,Business,2024-07-26,2025-08-30,Los Angeles,Paris,1589.17,56D
11,Edward Dudley,79,Female,Business,2024-12-07,2025-09-02,New York,India,224.39,36E
12,Pamela Macias,80,Male,First Class,2024-09-11,2025-01-17,Chicago,India,1666.66,30F
13,Sherri Cervantes,78,Female,Economy,2024-03-30,2025-10-16,Chicago,Dubai,660.51,32D
14,Joshua Santiago,43,Female,First Class,2024-06-08,2025-06-14,Miami,Paris,1033.96,40B
15,Rhonda Russell,36,Male,First Class,2024-02-20,2025-01-15,Miami,India,1514.17,24D
16,Gabriel Mccarthy,42,Male,Economy,2024-05-04,2025-04-25,New York,Sydney,1521.36,1C
17,Tammy Clark,75,Female,Economy,2024-07-03,2025-05-13,Houston,Paris,956.12,8B
18,Brian Willis,51,Male,First Class,2024-06-05,2025-01-23,Chicago,Sydney,1510.55,17E
19,Amanda Gallagher,80,Male,Economy,2024-05-07,2025-06-02,India,Sydney,1549.16,12A
20,Joshua Chambers MD,44,Female,Business,2024-08-20,2025-08-27,New York,Sydney,1354.43,34C
21,Jordan Johnson,75,Male,Economy,2023-12-16,2025-08-09,Los Angeles,Paris,430.56,58E
22,Alicia Jennings,48,Female,Economy,2024-07-04,2025-03-09,Chicago,London,1363.0,53B
23,Mark James,47,Female,Economy,2024-07-01,2025-11-20,Chicago,Tokyo,88.95,7C
24,Steve Carter,38,Male,Economy,2024-10-05,2025-09-24,Chicago,Tokyo,1501.61,13E
25,Steven Ball,26,Female,First Class,2024-03-17,2025-02-22,Houston,Dubai,287.63,34F
26,Amanda Reyes,64,Female,Economy,2024-09-23,2025-01-22,Los Angeles,India,520.21,13E
27,Juan Charles,78,Male,Business,2024-05-08,2025-08-08,Chicago,India,1189.76,6B
28,George White,37,Female,Business,2024-01-04,2025-10-11,New York,Paris,70.35,9D
29,Sarah Williams,18,Female,Business,2024-10-21,2025-05-16,Miami,Tokyo,1919.13,1A
30,Robert Williams,22,Male,First Class,2024-01-16,2025-02-21,New York,Paris,1088.64,1A
31,Lisa Moore,34,Female,Economy,2024-07-05,2025-01-08,Houston,Paris,1713.02,19C
32,Susan Baker,63,Female,Economy,2024-08-16,2025-04-24,Chicago,Paris,1970.28,4F
33,Brittney Henry,53,Female,Business,2024-03-03,2025-08-27,India,Dubai,649.38,43F
34,Bernard Best,60,Male,Economy,2024-06-11,2025-01-25,New York,Dubai,1310.32,30D
